n_rows,n_clusters,noise_rate,clustered_rate,min_cluster_size_observed,median_cluster_size_observed,max_cluster_size_observed,mean_membership_strength,median_outlier_score,silhouette_non_noise,davies_bouldin_non_noise,calinski_harabasz_non_noise,run_id,seed,svd_components_requested,umap_components,umap_neighbors,hdbscan_min_cluster_size,hdbscan_min_samples,hdbscan_backend,selection_score_structural,duration_seconds,svd_used_svd,svd_requested_components,svd_n_components,svd_explained_variance_sum,umap_used_umap,umap_n_components,umap_n_neighbors,umap_min_dist,umap_random_state
6048,3,0.0739087301587301,0.92609126984127,345,2258.0,2998,0.8458274582524798,0.0936707023482078,0.9224616289138794,0.0961739983300846,255712.6875,final_seed11,11,75,10,50,300,50,external_hdbscan,1.641627120564375,10.51545476913452,True,75,50,0.9999999999999998,True,10,50,0.0,11
6048,3,0.070271164021164,0.929728835978836,345,2280.0,2998,0.8492040830282407,0.1011191787757031,0.9168437123298644,0.0990589988046329,138327.609375,final_seed22,22,75,10,50,300,50,external_hdbscan,1.6366845289355128,10.464179515838625,True,75,50,1.0,True,10,50,0.0,22
6048,3,0.070271164021164,0.929728835978836,345,2280.0,2998,0.8373755046325423,0.127478370143157,0.912550926208496,0.1019905669425469,122720.3828125,final_seed33,33,75,10,50,300,50,external_hdbscan,1.6300260271350049,10.541438817977903,True,75,50,0.9999999999999992,True,10,50,0.0,33
6048,3,0.070271164021164,0.929728835978836,345,2280.0,2998,0.8521925033124892,0.1150061529473945,0.917686939239502,0.0973379639458019,134683.625,final_seed44,44,75,10,50,300,50,external_hdbscan,1.6381254399019998,10.232256174087524,True,75,50,0.9999999999999996,True,10,50,0.0,44
6048,3,0.070271164021164,0.929728835978836,345,2280.0,2998,0.8422759620461499,0.108772785263326,0.9146504402160645,0.0983154126918093,129266.171875,final_seed55,55,75,10,50,300,50,external_hdbscan,1.6331056326252944,9.99994444847107,True,75,50,0.9999999999999996,True,10,50,0.0,55
6048,3,0.0739087301587301,0.92609126984127,345,2258.0,2998,0.856528357119937,0.0886358385552179,0.9253495931625366,0.0915758962456669,252222.140625,final_seed66,66,75,10,50,300,50,external_hdbscan,1.646655264586524,9.991523265838625,True,75,50,1.0000000000000002,True,10,50,0.0,66
6048,3,0.070271164021164,0.929728835978836,345,2280.0,2998,0.8340085795484127,0.1120000253021864,0.9190715551376344,0.0945094951448123,132707.296875,final_seed77,77,75,10,50,300,50,external_hdbscan,1.635873271047317,10.110124111175535,True,75,50,1.0000000000000004,True,10,50,0.0,77
6048,3,0.070271164021164,0.929728835978836,345,2258.0,3020,0.854351747958234,0.1067644863460557,0.916970193386078,0.0928351271888974,121386.09375,final_seed88,88,75,10,50,300,50,external_hdbscan,1.6378405429777247,10.118455171585085,True,75,50,0.999999999999999,True,10,50,0.0,88
6048,3,0.070271164021164,0.929728835978836,345,2281.0,2997,0.8442934820606492,0.1259237158916274,0.9155476093292236,0.1013382980485301,119743.8984375,final_seed99,99,75,10,50,300,50,external_hdbscan,1.6344063057413536,10.121446371078491,True,75,50,0.9999999999999996,True,10,50,0.0,99
6048,3,0.070271164021164,0.929728835978836,345,2280.0,2998,0.8444991414088743,0.1088667322418586,0.9152714014053344,0.0974999540368395,130393.359375,final_seed101,101,75,10,50,300,50,external_hdbscan,1.6341712296871094,10.202553272247314,True,75,50,0.9999999999999996,True,10,50,0.0,101
6048,3,0.070271164021164,0.929728835978836,345,2258.0,3020,0.8504138394781969,0.1288892251224704,0.9147344827651978,0.0969668491520255,116541.671875,final_seed111,111,75,10,50,300,50,external_hdbscan,1.6348172506608372,10.117544651031494,True,75,50,0.9999999999999988,True,10,50,0.0,111
6048,3,0.070271164021164,0.929728835978836,345,2258.0,3020,0.8433513469152847,0.1023819179144218,0.9207824468612672,0.0983197160595917,141519.28125,final_seed123,123,75,10,50,300,50,external_hdbscan,1.639452716244324,10.01094102859497,True,75,50,0.9999999999999996,True,10,50,0.0,123
