label,n,percent,phenotype_name,top_standardized_drivers,age_mean,bmi_mean,waist_cm_mean,mean_sbp_mean,mean_dbp_mean,hba1c_mean,glucose_mean,triglycerides_mean,hdl_mean,ldl_mean,egfr_mean,uacr_mean,hscrp_mean,wbc_mean,display_name
-1,447,0.0739087301587301,algorithmic_noise_outlier_group,HDBSCAN noise label,50.92617449664429,30.97536231884058,102.43798219584568,124.7177615571776,74.42457420924575,5.835449735449736,112.45378151260503,111.56302521008404,52.32275132275132,97.94117647058825,93.03217128909556,51.83010309278351,5.059682539682539,7.180838323353294,Noise / outlier group
0,2998,0.4957010582010582,phenotype_0__low_wbc__low_albumin__low_mean_sbp,wbc z=-0.17; albumin z=-0.07; mean_sbp z=-0.06; mean_dbp z=-0.05,54.55637091394263,29.59527665317139,100.62601825842698,121.87936402045808,74.18684678674673,5.766010673782522,109.55786958006144,121.0819392284056,54.99066044029353,109.05326876513315,91.36789566596184,32.34260529891304,3.872625083388926,6.563942628418946,Lipid-prediabetes metabolic-risk tendency
1,2258,0.3733465608465608,phenotype_1__high_wbc__high_albumin__low_glucose,wbc z=0.20; albumin z=0.11; glucose z=-0.07; mean_dbp z=0.05,53.43356953055802,29.81343416370107,101.25324156305506,123.56694715087096,75.29701801003839,5.807361419068736,107.5,,54.07395925597874,,90.56384810050494,39.63930388219544,3.8365721877767935,7.309388839681133,Lower-glycemic central-adiposity tendency
2,345,0.0570436507936507,phenotype_2__high_mean_sbp__high_wbc__high_mean_dbp,mean_sbp z=0.18; wbc z=0.15; mean_dbp z=0.12; rdw z=0.12,54.22608695652174,30.48601190476191,102.6777777777778,126.2082066869301,76.03039513677811,5.832,111.64375,114.58064516129032,54.320754716981135,111.2258064516129,,35.15255255255255,3.3442281879194637,7.207246376811593,Smaller blood-pressure / renal-risk phenotype
